figi,ticker,investment_score,price
BBG004731354,ROSN,300.109,463.05
BBG000Q7ZZY2,UNAC,42.729,69.95
BBG004730ZJ9,VTBR,25.439,78.033
BBG004S684M6,SIBN,158.853,551.055
TCS00A102093,ELMT,4.513,16.060000000000002
BBG00475K2X9,HYDR,13.733,51.11
BBG00475KKY8,NVTK,163.742,881.08
BBG008HD3V85,UWGN,9.651,53.08
BBG004730RP0,GAZP,183.406,1270.31
TCS00A0JPP37,UGLD,9.076,67.68
BBG00475JZZ6,FEES,10.604,79.52000000000001
BBG004RVFFC0,TATN,73.792,558.07
BBG004730N88,SBER,322.149,2460.08
BBG008F2T3T2,RUAL,35.572,380.31
BBG004731489,GMKN,104.982,1130.3600000000001
BBG000RK52V1,OGKB,2.754,33.29
BBG004S68473,IRAO,24.831,309.99
BBG004S68507,MAGN,24.986,360.34999999999997
BBG000VJMH65,MRKS,3.115,54.35
BBG00ZHCX1X2,FIXP,8.889,173.01
BBG00475K6C3,CHMF,60.306,1181.02
BBG000K3STR7,APTK,4.751,100.31800000000001
BBG004S681M2,SNGSP,26.375,570.7950000000001
BBG004S68B31,ALRS,23.174,510.42
BBG004731032,LKOH,289.154,6921.0
BBG004S68BH6,PIKK,19.502,487.09
BBG000RMWQD4,ENPG,12.638,326.0
BBG004S681B4,NLMK,46.942,1280.58
TCS10A108K09,VSEH,2.907,95.035
BBG000VH7TZ8,MRKC,1.256,48.0
BBG000QFH687,TGKA,1.74,68.24
BBG004S68598,MTLR,2.573,101.085
BBG004S683W7,AFLT,14.811,610.1
BBG001M2SC01,ETLN,1.367,59.002
TCS00A107T19,YDEX,82.975,3630.0
BBG0047315D0,SNGS,54.459,2502.0
BBG000F6YPH8,ELFV,1.206,56.4
BBG009GSYN76,CBOM,14.654,702.74
BBG004S682Z6,RTKM,12.213,600.15
BBG00F9XX7H4,RNFT,2.361,128.095
BBG004Z2RGW8,ROLO,1.16,63.44
BBG000QF1Q17,FESH,8.236,450.77
TCS00A107UL4,TCSG,41.669,2633.04
BBG000RG4ZQ4,TGKN,1.284,81.4
BBG0100R9963,SGZH,1.699,107.78000000000002
BBG000R04X57,FLOT,13.543,930.1099999999999
TCS00A106YF0,VKCO,4.23,300.04
BBG004730JJ5,MOEX,28.056,2030.75
BBG00Y91R9T3,OZON,43.628,3275.05
TCS30A108JF7,PRMD,4.137,322.04
RU000A106T36,ASTR,6.362,505.07
BBG000RJL816,TTLK,0.825,65.85000000000001
TCS00A0ZZAC4,SVCB,17.268,1400.8
BBG004S68BR5,NMTP,9.736,803.5500000000001
BBG004S681W1,MTSS,23.513,1940.6999999999998
TCS00A108ZR8,DATA,1.422,118.036
BBG000PKWCQ7,MRKV,0.723,62.75
BBG0029SFXB3,KZOS,8.269,760.6999999999999
TCS00A107J11,DELI,2.219,206.03
BBG004S68CP5,MVID,1.065,99.04
BBG000VFX6Y4,GLTR,5.569,519.025
BBG00475KHX6,TRNFP,11.531,1169.0
BBG000GQSRR5,NKNC,8.063,820.8499999999999
TCS00A1002V2,EUTR,1.096,113.06
BBG000C7P5M7,MRKY,0.546,58.4
BBG004S68758,BANE,21.259,2353.0
BBG004S68829,TATNP,4.969,557.02
BBG000R607Y3,PLZL,118.678,14580.0
BBG007N0Z367,AGRO,9.444,1171.08
BBG002GHV6L9,SPBE,0.989,124.0
BBG004S689R0,PHOR,42.269,5498.0
BBG000FWGSZ5,IRKT,22.272,2904.0
TCS00A0ZZFS9,LEAS,4.46,624.05
BBG0063FKTD9,LENT,7.265,1044.0
BBG000VG1034,MRKP,2.33,341.5
TCS00A105EX7,WUSH,1.099,162.068
BBG004TC84Z8,TRMK,6.779,1050.06
BBG004S686W0,UPRO,6.991,1083.6999999999998
BBG004S68C39,LSRG,4.988,791.04
BBG002458LF8,SELG,2.762,440.25
BBG004RVFCY3,MGNT,28.647,4630.0
BBG0047315Y7,SBERP,14.916,2450.86
BBG000TJ6F42,MRKZ,0.334,55.300000000000004
TCS00A108GD8,IVAT,1.265,210.035
BBG004S68614,AFKS,8.299,1401.33
TCS00A107JE2,GEMC,3.893,722.0
BBG000VKG4R5,MRKU,1.963,368.2
BBG000W325F7,AQUA,3.164,596.0
BBG000NLC9Z6,LSNG,6.776,1301.6
BBG002B298N6,YAKG,2.945,610.5
TCS00Y3XYV94,MDMG,4.036,883.02
BBG000LNHHJ9,KMAZ,4.922,1150.2
BBG004S68696,RASP,10.737,2670.85
TCS00A103X66,POSI,8.103,2027.0
BBG005D1WCQ1,QIWI,0.548,200.06
TCS00A105NV2,CARM,0.229,107.26
